name	fname	ntorsions	torsion_bins
b-D-GlcpNAc ->4)-D-GlcpNAc	b-D-GlcpNAc_-_4_-D-GlcpNAc.tsv	2	2.2
b-D-GlcpNAc ->4)-ASN	b-D-GlcpNAc_-_4_-ASN.tsv	4	2.2.1.3
a-D-Glcp ->4)-D-Glcp	a-D-Glcp_-_4_-D-Glcp.tsv	2	1.2
a-D-Manp ->3)-SER	a-D-Manp_-_3_-SER.tsv	2	1.1
b-D-Manp ->4)-D-GlcpNAc	b-D-Manp_-_4_-D-GlcpNAc.tsv	2	1.1
a-L-Fucp ->3)-D-GlcpNAc	a-L-Fucp_-_3_-D-GlcpNAc.tsv	2	1.2
b-D-Xylp ->2)-D-Manp	b-D-Xylp_-_2_-D-Manp.tsv	2	2.1
a-D-Manp ->3)-D-Manp	a-D-Manp_-_3_-D-Manp.tsv	2	1.1
a-D-Manp ->6)-D-Manp	a-D-Manp_-_6_-D-Manp.tsv	3	1.2.2
b-D-Galp ->4)-D-Glcp	b-D-Galp_-_4_-D-Glcp.tsv	2	1.2
b-D-Galp ->4)-D-GlcpNAc	b-D-Galp_-_4_-D-GlcpNAc.tsv	2	1.2
a-D-Manp ->4)-D-GlcpNAc	a-D-Manp_-_4_-D-GlcpNAc.tsv	2	1.1
b-D-Xylp ->4)-D-Xylp	b-D-Xylp_-_4_-D-Xylp.tsv	2	1.1
a-L-IdopA2SO3 ->4)-D-GlcpNSO36SO3	a-L-IdopA2SO3_-_4_-D-GlcpNSO36SO3.tsv	2	1.2
a-D-GlcpNSO36SO3 ->4)-L-IdopA2SO3	a-D-GlcpNSO36SO3_-_4_-L-IdopA2SO3.tsv	2	1.1
a-D-Manp ->2)-D-Manp	a-D-Manp_-_2_-D-Manp.tsv	2	1.1
a-D-Manp ->3)-THR	a-D-Manp_-_3_-THR.tsv	2	1.1
a-D-Galp ->4)-D-Galp	a-D-Galp_-_4_-D-Galp.tsv	2	1.2
a-D-6-deoxy-Glcp4N ->4)-D-Glcp	a-D-6-deoxy-Glcp4N_-_4_-D-Glcp.tsv	2	1.2
a-L-Fucp ->6)-D-GlcpNAc	a-L-Fucp_-_6_-D-GlcpNAc.tsv	3	1.1.2
a-D-Glcp ->1)-D-Glcp	a-D-Glcp_-_1_-D-Glcp.tsv	2	5.1
b-D-Manp ->6)-D-Manp	b-D-Manp_-_6_-D-Manp.tsv	3	2.1.2
a-D-GlcpNAc ->4)-D-GlcpNAc	a-D-GlcpNAc_-_4_-D-GlcpNAc.tsv	2	1.1
a-D-Glcp2fluoro ->4)-GLU	a-D-Glcp2fluoro_-_4_-GLU.tsv	2	2.1
b-D-Glcp ->4)-D-Glcp2fluoro	b-D-Glcp_-_4_-D-Glcp2fluoro.tsv	2	310.1
b-D-Glcp ->4)-D-Glcp	b-D-Glcp_-_4_-D-Glcp.tsv	2	1.2
a-D-Glcp ->2)-D-Fruf	a-D-Glcp_-_2_-D-Fruf.tsv	2	1.7
b-L-Fucp ->6)-D-GlcpNAc	b-L-Fucp_-_6_-D-GlcpNAc.tsv	3	1.1.1
a-D-Neup5Ac ->3)-D-Galp	a-D-Neup5Ac_-_3_-D-Galp.tsv	2	2.2
a-D-GlcpNAc ->4)-ASN	a-D-GlcpNAc_-_4_-ASN.tsv	4	1.1.2.3
a-L-Fucp ->2)-D-Galp	a-L-Fucp_-_2_-D-Galp.tsv	2	1.2
b-D-Glcp ->3)-D-Glcp	b-D-Glcp_-_3_-D-Glcp.tsv	2	1.6
b-D-Manp ->4)-D-Manp	b-D-Manp_-_4_-D-Manp.tsv	2	2.1
a-D-GalpA ->4)-D-GalpA	a-D-GalpA_-_4_-D-GalpA.tsv	2	1.1
b-D-Manp ->3)-D-Manp	b-D-Manp_-_3_-D-Manp.tsv	2	1.1
b-D-GlcpNAc ->2)-D-Manp	b-D-GlcpNAc_-_2_-D-Manp.tsv	2	2.4
b-D-GalpNAc ->3)-D-Galp	b-D-GalpNAc_-_3_-D-Galp.tsv	2	2.3
a-D-GalpNAc ->3)-THR	a-D-GalpNAc_-_3_-THR.tsv	2	1.1
b-D-Galp ->3)-D-GalpNAc	b-D-Galp_-_3_-D-GalpNAc.tsv	2	1.1
a-D-Galp ->2)-D-Manp	a-D-Galp_-_2_-D-Manp.tsv	2	1.2
a-D-Manp ->4)-D-Manp	a-D-Manp_-_4_-D-Manp.tsv	2	2.3
a-D-Glcp ->6)-D-Glcp	a-D-Glcp_-_6_-D-Glcp.tsv	3	1.1.4
a-D-Galp ->6)-D-Galp	a-D-Galp_-_6_-D-Galp.tsv	3	3.1.2
a-D-Kdop ->4)-D-Kdop	a-D-Kdop_-_4_-D-Kdop.tsv	2	1.1
b-D-Galp ->3)-D-GlcpNAc	b-D-Galp_-_3_-D-GlcpNAc.tsv	2	2.1
b-D-GlcpNAc ->3)-D-Galp	b-D-GlcpNAc_-_3_-D-Galp.tsv	2	1.1
a-D-GalpNAc ->3)-D-Galp	a-D-GalpNAc_-_3_-D-Galp.tsv	2	1.1
a-D-Xylp ->6)-D-Glcp	a-D-Xylp_-_6_-D-Glcp.tsv	3	1.2.3
b-D-Galp ->2)-D-Xylp	b-D-Galp_-_2_-D-Xylp.tsv	2	1.2
a-D-Neup5Ac ->6)-D-Galp	a-D-Neup5Ac_-_6_-D-Galp.tsv	3	3.2.2
b-L-Fucp ->3)-D-GlcpNAc	b-L-Fucp_-_3_-D-GlcpNAc.tsv	2	1.1
a-D-Galp ->6)-D-Glcp	a-D-Galp_-_6_-D-Glcp.tsv	3	1.1.2
a-L-Fucp ->3)-D-Glcp	a-L-Fucp_-_3_-D-Glcp.tsv	2	1.1
b-D-GalpNAc ->4)-D-Galp	b-D-GalpNAc_-_4_-D-Galp.tsv	2	1.1
a-D-Galp ->3)-D-Galp	a-D-Galp_-_3_-D-Galp.tsv	2	3.2
a-D-Neup5Ac ->8)-D-Neup5Ac	a-D-Neup5Ac_-_8_-D-Neup5Ac.tsv	3	2.1.1
a-L-Rhap ->2)-L-Rhap	a-L-Rhap_-_2_-L-Rhap.tsv	2	1.1
b-D-GlcpNAc ->2)-L-Rhap	b-D-GlcpNAc_-_2_-L-Rhap.tsv	2	1.2
a-L-Rhap ->3)-D-GlcpNAc	a-L-Rhap_-_3_-D-GlcpNAc.tsv	2	1.1
a-L-Araf ->5)-L-Araf	a-L-Araf_-_5_-L-Araf.tsv	3	2.1.2
a-L-Fucp ->4)-D-GlcpNAc	a-L-Fucp_-_4_-D-GlcpNAc.tsv	2	1.1
a-L-Rhap ->3)-L-Rhap	a-L-Rhap_-_3_-L-Rhap.tsv	2	1.1
a-D-Glcp ->4)-L-Rhap	a-D-Glcp_-_4_-L-Rhap.tsv	2	2.2
b-D-GlcpN ->4)-D-GlcpN	b-D-GlcpN_-_4_-D-GlcpN.tsv	2	1.1
